paper_id,author,year,genus,species,genus_species,annual_perennial,growth_form,habitat_type,sample_country,sample_continent,sites_sampled,strain_source,num_nodules,num_plants,genbank,genetic_region,strain_richness,compares_homeaway,proportion_novel_strains,proportion_familiar_strains,compares_natinv,proportion_overlapping_strains,num_spp_compared,notes
29,Badri et al,2007,Medicago,truncatula,Medicago_truncatula,perennial,herb,,Tunisia,AF,1,soil trapping,40,999,0,RFLP_16S,1,0,999,999,0,999,999,
30,Baimiev et al,2007,Onobrychis,arenaria,Onobrychis_arenaria,perennial,herb,,Hungary,EU,1,field nodules,260,20,0,RAPD,4,0,999,999,0,999,999,number of nodules is an estimate based on 10-15 nodules per plant with 20 plants
30,Baimiev et al,2007,Onobrychis,arenaria,Onobrychis_arenaria,perennial,herb,,Hungary,EU,1,field nodules,260,20,0,16S,1,0,999,999,0,999,999,
31,Baimiev et al,2007,Astragalus,cicer,Astragalus_cicer,perennial,herb,,Russia,AS,1,field nodules,100,999,0,RAPD,3,0,999,999,0,999,999,
31,Baimiev et al,2007,Astragalus,cicer,Astragalus_cicer,perennial,herb,,Russia,AS,1,field nodules,100,999,0,16S,1,0,999,999,0,999,999,
32,Bakhoum et al,2014,Acacia,senegal,Acacia_senegal,perennial,woody,,Senegal,AF,2,soil trapping,42,999,0,RFLP_ITS,14,0,999,999,0,999,999,
32,Bakhoum et al,2014,Acacia,senegal,Acacia_senegal,perennial,woody,,Senegal,AF,2,soil trapping,14,999,0,ITS,11,0,999,999,0,999,999,
33,Bala et al,2002,Sesbania,sesban,Sesbania_sesban,perennial,woody,,Malawi_Zambia_Kenya,AF,6,soil trapping,139,999,0,RFLP_ITS,27,0,999,999,0,999,999,
33,Bala et al,2002,Sesbania,sesban,Sesbania_sesban,perennial,woody,,Malawi_Zambia_Kenya,AF,6,soil trapping,139,999,0,RFLP_16S,6,0,999,999,0,999,999,
34,Barauna et al,2014,Centrolobium,paraense,Centrolobium_paraense,perennial,woody,,Brazil,SA,4,soil trapping,334,999,1,16S,9,0,999,999,0,999,999,
34,Barauna et al,2014,Centrolobium,paraense,Centrolobium_paraense,perennial,woody,,Brazil,SA,4,soil trapping,334,999,1,rpoB,11,0,999,999,0,999,999,
35,Barrett and Parker,2005,Abarema,macradenia,Abarema_macradenia,perennial,woody,,Panama,NA,1,field nodules,6,1,0,ITS,2,0,999,999,0,999,999,
35,Barrett and Parker,2005,Mimosa,casta,Mimosa_casta,perennial,woody,,Panama,NA,1,field nodules,15,13,1,ITS,2,0,999,999,0,999,999,
35,Barrett and Parker,2005,Mimosa,pigra,Mimosa_pigra,perennial,woody,,Panama,NA,1,field nodules,16,13,1,ITS,2,0,999,999,0,999,999,
35,Barrett and Parker,2005,Mimosa,pudica,Mimosa_pudica,perennial,woody,,Panama,NA,1,field nodules,12,13,1,ITS,3,0,999,999,0,999,999,
35,Barrett and Parker,2005,Pithecllobium,hymenaeafolium,Pithecellobium_hymenaeafolium,perennial,woody,,Panama,NA,1,field nodules,2,2,0,ITS,2,0,999,999,0,999,999,
36,Barrett and Parker,2006,Mimosa,pigra,Mimosa_pigra,perennial,woody,,Costa_Rica,NA,2,field nodules,77,999,1,ITS,4,0,999,999,0,999,999,compares native range in this study to invasive range in a different study
36,Barrett and Parker,2006,Mimosa,pudica,Mimosa_pudica,perennial,woody,,Costa_Rica,NA,3,field nodules,138,999,1,ITS,8,0,999,999,0,999,999,compares native range in this study to invasive range in a different study
37,Batista et al,2013,Lotus,uliginosus,Lotus_uliginosus,perennial,herb,,Uruguay,SA,4,field nodules,111,999,1,RFLP_16S,3,0,999,999,0,999,999,
37,Batista et al,2013,Lotus,uliginosus,Lotus_uliginosus,perennial,herb,,Uruguay,SA,4,field nodules,111,999,1,ERIC_PCR,75,0,999,999,0,999,999,
37,Batista et al,2013,Lotus,uliginosus,Lotus_uliginosus,perennial,herb,,Uruguay,SA,4,field nodules,111,999,1,16S,6,0,999,999,0,999,999,
37,Batista et al,2013,Lotus,uliginosus,Lotus_uliginosus,perennial,herb,,Uruguay,SA,4,field nodules,111,999,1,ITS,4,0,999,999,0,999,999,
37,Batista et al,2013,Lotus,uliginosus,Lotus_uliginosus,perennial,herb,,Uruguay,SA,4,field nodules,111,999,1,nodC,6,0,999,999,0,999,999,
37,Batista et al,2013,Lotus,uliginosus,Lotus_uliginosus,perennial,herb,,Uruguay,SA,4,field nodules,111,999,1,nifH,3,0,999,999,0,999,999,
