paper_id,author,year,journal,clean_name,sample country,paper_plant_status,global_plant_status,Figure 2,Figure 3,Figure 4,Figure 5,title
79,De Meyer et al,2011,Soil Biology and Biochemistry,Vicia tetrasperma,Belgium,Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
84,Deng et al,2011,FEMS Microbiology Ecology,Sphaerophysa salsula,China,Native,Non-Native,X,,,,Diversity of endophytic bacteria within nodules of the Sphaerophysa salsula in different regions of Loess Plateau in China
85,Djedidi et al,2011,Microbes and Environments,Medicago intertexta,Tunisia,Native,Non-Native,X,,,,Stress Tolerance and Symbiotic and Phylogenic Features of Root Nodule Bacteria Associated with Medicago Species in Different Bioclimatic Regions of Tunisia
85,Djedidi et al,2011,Microbes and Environments,Medicago minima,Tunisia,Native,Non-Native,X,,,,Stress Tolerance and Symbiotic and Phylogenic Features of Root Nodule Bacteria Associated with Medicago Species in Different Bioclimatic Regions of Tunisia
85,Djedidi et al,2011,Microbes and Environments,Medicago polymorpha,Tunisia,Native,Non-Native,X,,,,Stress Tolerance and Symbiotic and Phylogenic Features of Root Nodule Bacteria Associated with Medicago Species in Different Bioclimatic Regions of Tunisia
100,Fterich et al,2011,Archives of Microbiology,Prosopis farcta,Tunisia,Native,Native,X,,,,Characterization of root-nodulating bacteria associated to Prosopis farcta growing in the arid regions of Tunisia
118,Hoque et al,2011,International Journal of Systematic and Evolutionary Microbiology,Acacia salicina,Australia,Native,Non-Native,X,,,,Genetic characterization fo root-nodule bacteria associated with Acacia salicina and A/ stenophylla (Mimosaceae) across south-eastern Australia
118,Hoque et al,2011,International Journal of Systematic and Evolutionary Microbiology,Acacia stenophylla,Australia,Native,Non-Native,X,,,,Genetic characterization fo root-nodule bacteria associated with Acacia salicina and A/ stenophylla (Mimosaceae) across south-eastern Australia
126,Kaiwei et al,2011,China Science and Technology Papers Online,Leucaena leucocephala,China,Non-Native,Non-Native,X,,X,,"Symbiotic efficiency, genetic diversity and phylogeny of the rhizobia isolated from Leucaena Leucocephala iin arid-hot river valley area in panxi, sichuan, china"
160,Lui et al,2011,International Journal of Systematic and Evolutionary Microbiology,Mimosa diplotricha,China,Non-Native,Non-Native,X,,,,"Phylogenetic relationships and diversity of B-rhizobia associated with Mimosa species grown in Shshuangbanna, China"
