paper_id,author,year,clean_name,plant_status,sample_country
176,McInroy et al,1999,Faidherbia albida,native,Kenya
256,Nick et al,1999,Acacia senegal,native,Sudan
256,Nick et al,1999,Prosopis chilensis,introduced,Sudan
256,Nick et al,1999,Prosopis chilensis,introduced,Kenya
226,Samba et al,1999,Crotalaria comosa,native,Senegal
226,Samba et al,1999,Crotalaria glaucoides,native,Senegal
226,Samba et al,1999,Crotalaria goreensis,native,Senegal
226,Samba et al,1999,Crotalaria hyssopifolia,native,Senegal
226,Samba et al,1999,Crotalaria lathyroides,native,Senegal
226,Samba et al,1999,Crotalaria perrottetii,native,Senegal
226,Samba et al,1999,Crotalaria podocarpa,native,Senegal
226,Samba et al,1999,Crotalaria retusa,native,Senegal
241,Sterner and Parker,1999,Amphicarpaea bracteata,native,United_States
257,Tan et al,1999,Amorpha fruticosa,introduced,China
257,Tan et al,1999,Amphicarpaea bracteata,native,China
257,Tan et al,1999,Gueldenstaedtia multiflora,native,China
257,Tan et al,1999,Securigera varia,introduced,China
266,Wang et al,1999,Amorpha fruticosa,introduced,China
268,Wang et al,1999,Leucaena leucocephala,introduced,Mexico
271,Wang et al,1999,Mimosa affinis,native,Mexico
87,Doignon-Bourcier et al,2000,Abrus pulchellus,native,Senegal
87,Doignon-Bourcier et al,2000,Alysicarpus glumaceus,native,Senegal
87,Doignon-Bourcier et al,2000,Alysicarpus ovalifolius,native,Senegal
87,Doignon-Bourcier et al,2000,Alysicarpus rugosus,native,Senegal
87,Doignon-Bourcier et al,2000,Bryaspis lupulina,native,Senegal
87,Doignon-Bourcier et al,2000,Crotalaria glaucoides,native,Senegal
87,Doignon-Bourcier et al,2000,Crotalaria goreensis,native,Senegal
87,Doignon-Bourcier et al,2000,Crotalaria hyssopifolia,native,Senegal
87,Doignon-Bourcier et al,2000,Crotalaria lathyroides,native,Senegal
87,Doignon-Bourcier et al,2000,Crotalaria retusa,native,Senegal
87,Doignon-Bourcier et al,2000,Eriosema glomeratum,native,Senegal
87,Doignon-Bourcier et al,2000,Flemingia faginea,native,Senegal
87,Doignon-Bourcier et al,2000,Indigofera astragalina,native,Senegal
87,Doignon-Bourcier et al,2000,Indigofera hirsuta,native,Senegal
87,Doignon-Bourcier et al,2000,Indigofera microcarpa,native,Senegal
87,Doignon-Bourcier et al,2000,Indigofera senegalensis,native,Senegal
87,Doignon-Bourcier et al,2000,Indigofera stenophylla,native,Senegal
87,Doignon-Bourcier et al,2000,Indigofera tinctoria,native,Senegal
87,Doignon-Bourcier et al,2000,Rhynchosia minima,native,Senegal
87,Doignon-Bourcier et al,2000,Senna insularis,native,Senegal
87,Doignon-Bourcier et al,2000,Sesbania rostrata,native,Senegal
87,Doignon-Bourcier et al,2000,Tephrosia bracteolata,native,Senegal
87,Doignon-Bourcier et al,2000,Tephrosia villosa,native,Senegal
87,Doignon-Bourcier et al,2000,Zornia glochidiata,native,Senegal
124,Jarabo-Lorenzo et al,2000,Adenocarpus foliolosus,native,Canary_Islands
124,Jarabo-Lorenzo et al,2000,Cytisus proliferus,native,Canary_Islands
192,Parker,2000,Tachigali versicolor,native,Panama
295,Willems et al,2000,Aeschynomene afraspera,native,Senegal
295,Willems et al,2000,Aeschynomene americana,introduced,Senegal
295,Willems et al,2000,Aeschynomene elaphroxylon,native,Senegal
295,Willems et al,2000,Aeschynomene indica,native,Senegal
295,Willems et al,2000,Aeschynomene sensitiva,native,Senegal
62,Chen et al,2001,Mimosa diplotricha,introduced,Taiwan
62,Chen et al,2001,Mimosa pudica,introduced,Taiwan
99,Frioni et al,2001,Acacia caven,native,Uruguay
99,Frioni et al,2001,Enterolobium contortisiliquum,native,Uruguay
99,Frioni et al,2001,Erythrina crista-galli,native,Uruguay
99,Frioni et al,2001,Inga uraguensis,native,Uruguay
99,Frioni et al,2001,Lonchocarpus nitidus,native,Uruguay
99,Frioni et al,2001,Peltophorum dubium,native,Uruguay
99,Frioni et al,2001,Prosopis nigra,native,Uruguay
99,Frioni et al,2001,Sesbania virgata,native,Uruguay
137,Lafay and Burdon,2001,Acacia cangaiensis,native,Australia
137,Lafay and Burdon,2001,Acacia dealbata,native,Australia
137,Lafay and Burdon,2001,Acacia glaucocarpa,native,Australia
137,Lafay and Burdon,2001,Acacia implexa,native,Australia
137,Lafay and Burdon,2001,Acacia irrorata,native,Australia
137,Lafay and Burdon,2001,Acacia mearnsii,native,Australia
137,Lafay and Burdon,2001,Acacia melanoxylon,native,Australia
225,Sajnaga et al,2001,Cytisus scoparius,native,Poland
246,Tan et al,2001,Amphicarpaea bracteata,native,China
246,Tan et al,2001,Securigera varia,introduced,China
249,Terefework et al,2001,Galega officinalis,introduced,New_Zealand
249,Terefework et al,2001,Galega officinalis,introduced,UK
249,Terefework et al,2001,Galega orientalis,introduced,Finland
249,Terefework et al,2001,Galega orientalis,introduced,Russia
3,Acosta-Duran and Martinez-Romero,2002,Gliricidia sepium,native,Mexico
123,Jaftha et al,2002,Lotononis bainesii,native,South_Africa
181,Montecchia et al,2002,Aeschynomene rudis,native,Argentina
260,Parker,2002,Desmodium grahamii,native,Mexico
260,Parker,2002,Desmodium retinens,native,Mexico
260,Parker,2002,Macroptilium gibbosifolium,native,Mexico
260,Parker,2002,Phaseolus parvulus,native,Mexico
260,Parker,2002,Phaseolus pauciflorus,native,Mexico
260,Parker,2002,Phaseolus pedicellatus,native,Mexico
201,Qian and Parker,2002,Lotus oroboides,native,Mexico
200,Quatrini et al,2002,Spartium junceum,native,Italy
245,Sylla et al,2002,Pterocarpus erinaceus,native,Senegal
245,Sylla et al,2002,Pterocarpus lucens,native,Senegal
273,Wang et al,2002,Amorpha fruticosa,introduced,United_States
279,Wei et al,2002,Indigofera amblyantha,native,China
279,Wei et al,2002,Indigofera carlesi,native,China
